"id","player","account_name","week","day","win_loss","rb","bonus","daily_rb","result_day","working_time","reserv_wallet","fk_user_data_balance"
1,"Igor","nmccj02",0,"2024-01-05","-24095",70,"4452","51940","27845",NULL,"47488","1"
2,"Igor","nmccj02",0,"2024-01-06","211307",70,"4774","55697","267004",NULL,"50923","2"
3,"Igor","nmccj01",0,"2024-01-05","-47530",70,"4996","58287","10757",NULL,"53291","3"
4,"Igor","nmccj01",0,"2024-01-06","77118",70,"4655","54308","131426",NULL,"49653","4"
5,"Igor","nmccj03",0,"2024-01-05","0",70,"0","0","0",NULL,"0","5"
6,"Igor","nmccj03",0,"2024-01-06","0",70,"0","0","0",NULL,"0","6"
7,"Igor","nmccj02",1,"2024-01-07","-277467",70,"5779","67422","-210045",NULL,"61643","7"
8,"Igor","nmccj01",1,"2024-01-07","-200561",70,"5628","65660","-134901",NULL,"60032","8"
9,"Igor","nmccj03",1,"2024-01-07","0",70,"0","0","0",NULL,"0","9"
10,"Igor","nmccj02",1,"2024-01-08","-207698",70,"6764","78913","-128785",NULL,"72149","10"
11,"Igor","nmccj01",1,"2024-01-08","-254601",70,"6292","73407","-181194",NULL,"67115","11"
12,"Igor","nmccj02",1,"2024-01-09","93395",70,"2657","30998","124393",NULL,"28341","12"
13,"Igor","nmccj01",1,"2024-01-09","-332375",70,"2725","31792","-300583",NULL,"29067","13"
14,"Igor","nmccj02",1,"2024-01-13","15665",70,"2608","30427","46092",NULL,"27819","14"
15,"Igor","nmccj01",1,"2024-01-13","44128",70,"2075","24208","68336",NULL,"22133","15"
16,"Igor","nmccj02",2,"2024-01-14","-172454",70,"6995","81608","-90846",NULL,"74613","16"
17,"Igor","nmccj01",2,"2024-01-14","321010",70,"3967","46282","367292",NULL,"42315","17"
18,"Igor","nmccj02",2,"2024-01-15","219220",70,"4356","50820","270040",NULL,"46464","18"
19,"Igor","nmccj01",2,"2024-01-15","263574",70,"3945","46025","309599",NULL,"42080","19"
20,"Igor","nmccj02",2,"2024-01-16","248819",70,"7205","84058","332877",NULL,"76853","20"
21,"Igor","nmccj01",2,"2024-01-16","-72890",70,"5104","59547","-13343",NULL,"54443","21"
22,"Igor","nmccj02",2,"2024-01-17","41001",70,"2581","30112","71113",NULL,"27531","22"
23,"Igor","nmccj01",2,"2024-01-17","-95187",70,"3421","39912","-55275",NULL,"36491","23"
24,"Igor","nmccj02",2,"2024-01-18","-190825",70,"5694","66430","-124395",NULL,"60736","24"
25,"Igor","nmccj01",2,"2024-01-18","-183641",70,"5807","67748","-115893",NULL,"61941","25"
26,"Igor","nmccj01",3,"2024-01-21","38343",70,"870","10150","48493",NULL,"9280","26"
27,"Igor","nmccj02",3,"2024-01-21","58245",70,"884","10313","68558",NULL,"9429","27"
